2026-04-07 02:48:30 | DEBUG | stakan_pattern | [KAIAUSDT LONG] Анализ: spr3_pct=0.4264, roc_sma=0.2114, rate=2.02
2026-04-07 02:48:30 | DEBUG | stakan_pattern | [KAIAUSDT SHORT] Анализ: spr3_pct=0.6410, roc_sma=0.2160, rate=2.97
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [PEOPLEUSDT LONG] Анализ: spr3_pct=0.3130, roc_sma=0.1555, rate=2.01
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [PEOPLEUSDT SHORT] Анализ: spr3_pct=0.3135, roc_sma=0.1577, rate=1.99
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [XTZUSDT LONG] Анализ: spr3_pct=0.5865, roc_sma=0.2899, rate=2.02
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [LUNA2USDT SHORT] Анализ: spr3_pct=0.5535, roc_sma=0.1862, rate=2.97
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [IOTXUSDT LONG] Анализ: spr3_pct=0.4464, roc_sma=0.2212, rate=2.02
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [SKLUSDT LONG] Анализ: spr3_pct=0.4854, roc_sma=0.1605, rate=3.02
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [SKLUSDT SHORT] Анализ: spr3_pct=0.3241, roc_sma=0.1631, rate=1.99
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [ZILUSDT LONG] Анализ: spr3_pct=0.5236, roc_sma=0.2591, rate=2.02
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [ZILUSDT SHORT] Анализ: spr3_pct=0.5249, roc_sma=0.2653, rate=1.98
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [PEOPLEUSDT LONG] Анализ: spr3_pct=0.3130, roc_sma=0.1555, rate=2.01
